response_gain, saturation_index
4.0381, -0.181884
5.9184, -0.12211
13.772, -0.29949
13.529, -0.16260
25.433, -0.20116
44.530, -0.36697
109.30, -0.41517
16.747, 0.059126
20.185, 0.099614
23.687, 0.061054
20.006, 0.030206
20.006, -0.017995
26.354, -0.025707
28.297, -0.048843
34.410, -0.097044
31.296, -0.016067
43.745, -0.077763
48.226, -0.049904
42.974, -0.046915
42.974, -0.039203
59.712, -0.0064267
33.207, 0.061054
37.609, 0.026350
27.552, 0.15553
29.847, 0.19794
25.208, 0.27314
42.974, 0.43123
89.085, 0.42352
92.310, 0.38882
164.52, 0.41003
193.07, 0.38689
228.60, 0.47365
602.45, 0.48907
1173.5, 0.049486
97.368, 0.047558
89.085, 0.10540
118.40, 0.10540
167.47, 0.17095
203.65, 0.24422
90.684, 0.20180
90.684, 0.26157
82.235, 0.27314
89.085, 0.28856
59.184, 0.23072
43.745, 0.26542
36.619, 0.26928
35.655, 0.16131
34.854, 0.10894
44.927, 0.15360
61.874, 0.17674
52.257, 0.19216
49.985, 0.22108
40.024, 0.22108
49.543, 0.064910
57.626, 0.0089974
40.565, 0.13086
40.682, 0.11591
40.682, 0.089131
37.973, 0.076053
40.916, 0.022495
42.351, 0.057370
52.550, 0.0016593
50.902, 0.0074062
49.448, 0.012954
40.565, 0.071071
41.449, 0.10408
30.018, 0.25825
15.136, 0.030162
19.586, -0.15458
62.648, -0.024038
178.94, 0.34974
